session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,diff_time1,diff_time2,diff_time3,diff_time4,diff_time5,diff_time6,diff_time7,diff_time8,diff_time9,diff_time10,user_id
81,3,133,200,124,55,3,55,3589,4429,200,0,1,0,17,0,1,5,0,4,0,31
82,124,55,3,128,192,3699,227,4736,227,654,0,0,1,0,4,0,0,4,0,1,31
83,217,217,55,55,574,133,3,133,3,124,1,20,46,85105,0,0,3,0,1,0,31
84,200,55,3,55,341,5,192,346,55,55,24,0,1,1,0,0,0,3,1,0,31
85,5,681,464,293,203,3613,55,3900,370,4070,0,0,0,0,2,0,1,1,1,0,31
86,601,601,370,227,227,1145,792,354,792,354,1,1,1,1,1,1,3,0,4,0,31
87,573,573,193,2,6,3,2,2574,3,2574,4,1095,130,0,3,34,1,0,1,2,31
88,2574,3,6,574,133,2,133,3,61,61,35,0,21,0,0,1,0,9,1,1,31
89,3401,549,41,61,19,38,13,19,13,38,0,0,0,1,0,0,2,0,0,3,31
90,133,31,14,4579,38,1,13,246,601,13,0,5,0,0,0,0,1,0,0,0,31
91,14,19,19,38,227,6,14,13,398,1,0,2,0,1,2,1,0,1,0,0,31
92,13,38,888,13,19,138,13,1,19,138,0,1,0,0,0,1,0,0,0,0,31
93,8,888,13,14,1,14,541,19,38,3,0,6,0,1,0,2,0,0,0,1,31
94,1,19,13,6,6,541,13,19,1,6,0,0,1,1,0,0,0,1,2,0,31
95,75,75,1,1,1,14,1,14,14,19,1,1,3,3,20,4,1,11,12,0,31
96,75,14,1,75,1,14,14,14,1,14,2,4,4,0,1,6,15,4,11,3,31
97,1,14,14,1,14,14,1,14,1,14,12,2,2,11,13,0,2,4,11,5,31
98,75,14,1,14,1,14,14,13,14,6,10,4,1,3,7,11,1,3,6,19,31
99,55,3,55,55,200,124,422,464,106,5,1,0,1,0,0,1,0,0,0,1,31
100,106,4395,247,174,55,4613,258,3794,573,258,0,0,0,0,3,0,1,0,0,1,31
101,573,172,172,43,2,6,3,86,63,143,24,40,9213,72549,1,2,16,0,0,0,31
102,2,54,54,86,54,54,54,6,3,2,0,1,0,13,1,59,148,2,12,1,31
103,2,2,2097,2,2,3,574,133,3,133,82,1,93,5,76729,0,0,1,0,1,31
104,133,133,200,124,55,3,55,124,200,55,1,0,0,19,0,1,1,0,0,1,31
105,192,128,55,4555,227,3448,2215,227,573,1740,0,3,3,0,1,0,0,1,2,67,31
106,2,6,3,2,6,3,151,151,18,6,0,2,11,0,0,0,1,1,0,0,31
107,151,17,5,45,5,3,151,3,6,1175,0,0,0,1,0,3,0,1,0,0,31
108,151,151,3,151,151,151,151,10,151,10,1,1,1,2,1,1,1,0,1,0,31
109,151,151,151,151,151,151,151,151,151,151,2,1,1,2,2,2,2,2,2,2,31
110,151,151,10,151,151,151,151,151,151,151,2,2,0,2,2,2,1,1,2,2,31
111,151,151,151,151,151,13,38,19,151,151,2,2,1,1,0,0,1,1,1,1,31
112,151,151,151,151,151,151,151,151,151,151,2,1,1,2,2,2,2,2,2,2,31
113,151,151,151,151,151,151,151,151,151,151,2,2,2,2,2,2,2,2,2,2,31
114,151,151,151,151,151,151,151,151,151,151,2,2,2,1,2,2,1,2,2,2,31
115,151,151,151,151,151,151,151,151,151,151,2,2,1,1,2,2,1,1,2,2,31
116,151,151,151,151,151,151,151,151,151,151,2,2,2,2,2,2,2,1,1,2,31
117,151,151,151,151,151,246,151,151,151,151,1,1,2,2,1,0,1,2,2,1,31
118,151,151,151,151,151,151,151,151,151,151,1,2,2,2,2,2,2,2,2,2,31
119,151,151,151,151,151,2,6,3,238,6,2,2,2,2,1666,1,2,64,1,0,31
120,88,238,2,3,38,13,19,3,6,88,0,0,0,1,0,1,59,0,0,0,31
121,238,38,19,13,238,433,364,364,433,74,10,0,0,21,0,1,1,0,0,1,31
122,1224,920,1265,3898,1265,1324,238,433,364,509,0,0,2,1,6,0,0,0,1,0,31
123,1265,753,1224,364,433,3970,74,1490,74,74,0,0,0,0,3,0,1,11,12,12,31
124,74,74,74,364,74,74,74,74,74,74,12,12,7,5,12,12,12,12,12,12,31
125,74,3029,364,920,509,920,74,74,74,364,3,0,0,0,1,8,12,12,11,0,31
126,1324,3029,509,74,74,750,578,884,1952,74,0,0,1,12,5,0,0,1,6,12,31
127,74,1324,74,74,74,433,364,1885,433,364,8,4,12,12,4,0,0,1,0,0,31
128,377,45,18,17,377,5,377,5,4248,377,0,1,0,0,0,1,0,0,1,0,31
129,1907,1907,364,74,1885,364,74,74,74,74,1,1,1,3,0,9,12,12,12,12,31
130,74,74,74,74,74,74,74,74,74,74,12,12,12,12,12,12,12,12,12,12,31
131,74,74,74,74,74,74,74,238,74,74,12,12,12,12,12,12,12,0,12,12,31
132,74,74,74,74,74,74,74,74,74,74,12,12,12,12,12,12,12,12,12,12,31
133,74,74,74,74,74,74,74,74,74,74,12,12,12,12,12,12,12,12,12,12,31
134,74,74,74,74,238,1646,31,6,6,22,12,12,12,30,1,0,11,1,0,0,31
135,5,459,1646,17,18,45,31,6,1646,130,0,0,1,0,0,0,0,0,7,0,31
136,665,5,22,1646,45,6,53,6,5,1646,0,0,0,0,0,1,0,0,0,9,31
137,20,20,10,20,20,10,2,6,3,2,1,1,28,1,39,18,1,2,37,0,31
138,2620,2620,6,3,238,2,53,238,238,45,1,49,0,8,2,199,5,15,5,0,31
139,1441,1481,226,2406,1441,22,1481,226,1481,1441,0,5,0,0,0,0,1,0,0,0,31
140,6,10,5,18,1481,1098,1441,17,5,1098,0,0,1,0,0,0,0,1,0,0,31
141,6,20,13,19,1441,1098,1441,238,238,88,0,1,2,0,3,234,289,360,1,0,31
142,3,238,1324,238,13,238,244,736,1519,736,0,0,240,4,28,1,0,8,0,0,31
143,45,17,18,796,6,6,736,1498,6,341,0,0,2,7,1,0,1,0,1,0,31
144,346,681,5,2709,5,534,174,419,632,1180,0,0,1,0,0,0,1,0,0,0,31
145,174,293,10,632,174,10,4085,174,736,20,0,0,1,0,1,0,0,2,6,10,31
146,20,172,20,88,3,13,238,238,904,714,1,20,166,0,5,5,23,0,1,0,31
147,3411,417,417,775,1829,417,17,18,203,22,0,1,0,0,1,1,0,0,0,0,31
148,417,2102,1829,5,1710,417,20,6,2,3,1,0,0,1,7,2,1,31,3,23,31
149,2,516,6,1305,516,6,17,2686,18,1305,1,11,1,0,1,0,0,0,0,2,31
150,516,1305,1305,516,1305,1923,170,2494,880,516,0,1,1,0,0,1,0,1,0,0,31
151,1026,455,170,1305,5,1305,170,192,516,516,0,0,0,1,0,0,1,0,2,2,31
152,516,516,398,516,516,516,398,516,208,17,2,1,1,2,2,1,0,0,1,0,31
153,516,5,208,18,516,516,516,516,516,516,0,0,0,2,2,2,2,2,2,2,31
154,516,516,516,516,516,516,516,2,2,1109,2,2,2,2,2,2,42,7,0,1,31
155,1109,31,3,1109,5,22,1109,208,4183,31,0,1,3,0,0,1,0,0,1,0,31
156,1109,208,6,947,208,208,400,947,208,208,0,1,1,0,1,0,0,1,6,0,31
157,20,20,10,10,1109,208,208,400,947,746,1,0,2,1,22,1,0,0,0,1,31
158,208,238,2,2,3472,5,329,18,17,2651,11,6,3,4,1,0,0,0,1,0,31
159,106,22,6,5,2,226,3703,3447,106,2651,0,0,0,0,0,0,1,0,0,0,31
160,2789,3141,2789,3141,5,6,5,3873,10,10,0,1,10,0,0,1,0,1,3,0,31
161,329,13,38,19,20,20,400,2,208,1109,1,2,0,3,30,57,24,5,0,0,31
162,5,1109,208,6,20,1109,3128,208,186,379,1,0,1,0,0,0,0,0,0,0,31
163,386,947,513,379,621,208,620,5,400,186,1,0,0,0,0,0,0,0,0,0,31
164,386,22,6,31,386,513,208,186,20,653,0,1,0,0,0,0,0,0,0,1,31
165,186,10,6,386,20,620,379,5,386,621,0,0,0,1,0,0,0,0,0,1,31
166,513,379,3616,6,653,379,379,620,5,186,0,1,0,0,5,3,0,0,0,1,31
167,379,422,621,186,20,3686,513,621,6,379,0,0,0,0,0,1,0,1,0,0,31
168,2369,186,5,379,379,513,186,653,386,379,6,0,0,1,1,0,0,0,0,0,31
169,6,18,20,17,20,5,2900,2900,459,208,1,0,0,1,0,0,1,2,5,4,31
170,186,5,379,20,379,621,513,17,6,746,0,0,1,0,0,0,1,0,0,0,31
171,947,18,208,400,2129,5,6,208,2129,400,0,0,0,1,0,0,1,0,1,1,31
172,208,20,621,5,20,513,17,6,653,18,11,0,0,1,0,2,0,0,0,1,31
173,5,20,2,186,238,400,186,2,3,238,4,50,6,55,5,1,116,0,198,0,31
174,3,238,1549,2612,2202,1331,4839,4033,1120,17,29,1,0,0,0,0,0,0,1,0,31
175,130,87,18,1549,1120,73,53,2202,130,5,0,0,0,0,0,1,0,0,0,0,31
176,6,10,31,87,73,1458,1120,22,20,3305,0,1,0,0,0,0,3,1,0,4,31
177,1120,2,87,63,54,143,2,86,54,86,51,3,7,0,0,0,0,1,0,0,31
178,63,54,54,54,3,88,13,238,238,53,13,1,31,93,0,5,16,309,253,5,31
179,238,2,3,2,1041,102,173,102,173,2671,69,3,22,1,0,0,1,0,0,0,31
180,2125,1041,73,3332,45,102,253,1041,146,910,0,0,1,0,0,0,1,0,0,0,31
181,31,2,172,172,102,146,102,1041,1041,173,1,23,39,7,0,14,0,49,0,1,31
182,1041,173,173,73,1041,173,2125,2125,73,2671,2,1,2,2,0,0,1,0,0,0,31
183,3,88,238,13,2,3,2,1550,3396,3,0,1,4,24,0,2,1,1,1,0,31
184,402,1550,918,1550,522,918,397,397,397,397,0,1,0,0,1,0,1,4,2,2,31
185,4256,2,1550,3933,4186,3,397,397,397,397,0,0,0,0,0,1,3,1,1,4,31
186,397,397,397,1550,397,397,2,6,3,2,2,5,22,172,1,41,0,3,3,0,31
187,321,102,6,3,73,84,102,321,3310,1950,0,0,0,1,0,0,0,0,0,0,31
188,146,1950,743,642,321,2607,321,73,1950,321,1,0,0,2,1,0,0,1,0,11,31
189,1144,321,84,31,2607,146,102,321,22,5,7,0,0,1,0,0,0,1,0,0,31
190,84,321,17,18,6,53,6,126,22,10,0,0,0,0,1,0,0,8,0,1,31
191,20,321,10,3335,321,321,1458,73,1950,2075,3,0,1,3,1,0,0,0,0,0,31
192,20,321,1144,22,2075,5,126,53,18,17,1,0,1,0,1,0,0,0,0,0,31
193,6,238,321,20,321,73,1515,73,1515,1144,5,24,1,0,0,0,1,0,0,1,31
194,1515,22,18,5,6,17,53,126,5,321,1,0,0,0,0,1,0,0,12,2,31
195,20,2301,321,73,1144,321,22,53,17,18,0,0,0,1,1,0,1,0,0,0,31
196,6,126,5,20,321,1616,73,1616,321,22,0,0,15,0,0,1,0,0,7,1,31
197,17,6,5,18,321,1884,321,1884,73,321,0,0,0,16,1,0,1,0,0,0,31
198,20,1144,1884,22,6,5,53,18,17,22,0,1,1,0,0,0,0,0,3,18,31
199,321,73,321,20,2711,1144,377,2711,17,6,1,0,0,0,1,0,1,1,0,0,31
200,5,18,53,321,2247,2247,73,321,20,2247,0,0,6,0,1,0,0,0,1,9,31
201,5,18,17,53,5,6,2716,3476,3363,2716,0,0,1,0,0,9,1,0,0,0,31
202,31,4496,4027,4648,84,4317,3944,20,2,628,0,0,0,0,0,0,20,4,3,0,31
203,2,749,1121,422,18,17,5,212,476,628,1,0,0,0,0,1,0,4,1,13,31
204,476,749,17,476,18,628,749,1121,422,1642,0,6,0,0,0,0,0,0,1,0,31
205,749,628,749,749,628,749,628,17,749,18,1,0,2,0,70,4,1,0,0,0,31
206,422,1121,1775,87,628,628,87,17,1121,18,0,1,0,1,36,0,1,0,0,0,31
207,749,402,749,749,628,402,749,17,1121,18,1,9,1,6,1,0,0,0,0,1,31
208,628,628,1121,18,749,402,17,402,628,628,10,1,0,0,0,0,1,1,86,0,31
209,2,18,749,2,17,1121,628,628,628,1121,1,0,0,0,0,1,57,1,1,0,31
210,17,749,18,628,321,1753,321,2307,1144,73,0,0,2,7,1,0,0,1,0,0,31
211,321,1753,784,173,1753,377,17,6,5,18,0,0,0,1,0,2,0,0,0,0,31
212,53,126,20,321,321,1938,73,1938,1938,18,0,30,45,1,0,1,0,1,1,0,31
213,53,6,126,17,5,3,88,238,13,20,0,0,0,0,14,0,1,4,11,1,31
214,628,628,1121,18,17,749,628,321,2632,321,1,0,1,0,0,1,76,1,0,1,31
215,73,87,2632,126,5,53,18,6,17,20,0,1,1,0,0,0,0,0,30,9,31
216,87,321,2075,321,73,2075,126,53,5,45,0,1,0,1,1,1,0,0,0,0,31
217,18,6,17,321,1381,321,1381,73,87,1381,0,0,1,0,1,0,0,0,1,1,31
218,5,53,18,6,17,321,87,20,2486,321,0,0,0,0,11,0,1,0,0,1,31
219,377,73,2307,784,2486,321,2486,377,126,53,0,0,0,0,0,1,0,1,0,0,31
220,6,17,5,18,321,73,20,321,2803,2975,0,0,0,26,1,0,0,0,1,0,31
221,377,2975,2803,6,17,5,53,126,18,20,1,0,1,0,0,0,0,0,2,0,31
222,5,321,321,2340,2340,1458,73,321,1737,321,2,1,0,1,0,0,0,1,0,0,31
223,2340,6,17,18,53,126,5,321,20,321,2,0,0,0,0,0,3,1,0,0,31
224,3415,321,73,1458,18,5,6,17,321,3443,1,0,0,3,0,0,0,3,2,2,31
225,20,238,61,61,1290,690,3191,61,549,41,0,5210,1,0,0,0,1,0,1,0,31
226,61,230,230,230,355,355,510,193,230,230,0,1,3,83,21,0,104,3,1,7,31
227,230,101,230,230,40,230,230,230,230,230,1,0,4,1,2,5,1,1,6,1,31
228,101,230,40,1308,230,181,40,40,61,43,0,1,0,0,0,1,4,76459,165,0,31
229,81,43,43,574,133,3,133,3,31,3880,16880,73369,72173,0,0,1,0,0,15,9,31
230,55,3,55,200,124,106,3772,247,525,55,0,1,0,1,0,0,1,0,7,1,31
231,55,293,341,55,681,422,203,293,2494,55,1,0,0,0,0,0,1,0,1,1,31
232,3813,3805,755,556,556,755,227,393,558,172,0,2,0,1,0,1,1,0,21,86,31
233,172,43,193,93,93,93,574,133,93,31,31,6161,3,1,1,1,0,0,1,0,31
234,133,3,133,3,133,200,124,655,133,398,0,1,0,1,0,0,1,2,1,3,31
235,4224,55,3,55,55,55,200,124,106,43,9,0,1,1,2,1,0,1,70,1437,31
236,93,93,133,200,124,398,655,655,4883,1332,1,1,1,0,2,0,1,3,4,1,31
237,1332,55,55,55,422,616,346,128,203,172,3,1,1,1,0,1,0,0,1,2,31
238,601,4828,4393,172,1933,601,55,200,55,1933,0,0,0,1,0,0,1,0,0,0,31
239,124,192,5,1470,3999,3767,1470,1311,227,1311,1,0,3,1,0,1,0,0,1,0,31
240,227,370,1069,370,1486,1486,1490,217,2702,2702,5,0,1,6,1,1,1,1,1,6,31
241,55,55,200,124,422,55,464,55,293,476,2,0,0,1,0,0,1,0,1,0,31
242,1716,476,5,681,341,4612,3599,55,124,200,1,0,0,0,2,2,2,2,0,0,31
243,55,55,422,55,3630,258,4024,755,258,354,1,0,2,3,0,2,1,1,1,4,31
244,211,922,55,55,55,55,3832,613,4470,227,2,1724,4,1,2,2,1,0,1,0,31
245,613,227,601,601,55,200,55,124,3928,4876,1,1,3,24,1,0,1,3,1,0,31
246,616,755,616,608,2079,608,55,55,55,55,1,0,0,9,13,292,2,3,1,1,31
247,55,55,200,124,55,3578,3752,755,1311,1311,1,0,0,1,2,0,1,0,1,0,31
248,227,608,227,608,700,700,55,200,55,124,0,1,0,1,1,8,1,0,0,4,31
249,3763,4756,55,55,200,124,3423,4414,133,55,0,0,2,0,0,4,1,1142,0,1,31
250,124,200,655,398,124,200,133,655,398,4357,0,2,1,1,0,0,2,0,3,1,31
251,618,618,55,55,133,55,133,655,398,4490,1,4,1,4,0,1,1,1,4,7,31
252,258,258,4671,3,133,574,31,3,133,655,1,55,10984,0,0,0,1,0,2,1,31
253,655,133,398,133,3632,2427,616,2427,616,55,1,1,1,4,1,1,0,1,8,0,31
254,3,55,55,55,106,824,1320,1029,293,106,1,1,1,1,1,0,0,0,0,0,31
255,681,910,293,247,4294,4289,393,558,393,2286,1,0,1,2,1,1,0,9,0,1,31
256,393,1176,2350,1069,1069,922,922,608,608,43,1,1,5,1,1,1,0,22,35,543,31
257,93,2,3,6,2,58,31,58,136,58,6,3,1,45,1,1,0,0,1,1,31
258,58,6,2,3,2,2,2,394,276,2,58,0,0,3,19,1,0,0,1,0,31
259,3553,2602,394,276,226,226,599,394,972,22,0,0,0,0,1,0,0,0,1,0,31
260,1335,683,45,948,22,6,683,972,18,17,0,0,0,1,0,0,0,0,1,0,31
261,1335,730,683,972,680,683,730,20,10,5,0,0,1,0,0,0,1,0,1,1,31
262,6,20,394,10,2,2,826,826,483,483,0,0,77,119,1244,0,1,0,1,1,31
263,483,483,199,1170,2,2,2,2,63,54,2,0,0,97,389,6,1,0,0,0,31
264,143,86,54,63,54,55,133,133,55,55,1,0,0,1,2467,0,1,9,3,1,31
265,55,55,422,55,192,346,5,3842,3932,2,1,1,0,1,0,1,2,1,14,0,31
266,63,54,54,86,54,63,341,2,2,2,0,1,1,0,0,43,36,301,3,3,31
267,58,58,58,2,2,1359,436,31,1974,436,2,1,107,76,1,0,0,0,1,2,31
268,1601,1601,855,128,212,4335,203,1601,212,3038,1,1,1,0,0,0,0,1,0,0,31
269,1601,5,2287,2287,1601,212,203,2287,855,212,0,0,1,0,0,0,1,0,1,0,31
270,3038,128,5,215,436,2,1359,436,2599,3,0,1,0,0,26,1,0,1,1,5,31
271,3,5,2,2,58,2,58,58,2,58,1,74,12,2,1,0,1,73,3,1,31
272,58,2,58,58,2,2,3217,2,55,133,6,1,1,142,83,4,81,2016,0,1,31
273,133,55,55,55,422,476,203,172,172,55,14,1,1,1,1,0,1,1,0,0,31
274,133,124,200,133,655,398,3502,55,55,422,3,0,1,3,1,3,3,3,1,1,31
275,128,55,133,200,124,476,655,398,3825,93,1,0,1,0,0,1,1,3,31,1,31
276,10,4,216,3,4,10,4,6,3,3,0,0,1,0,1,0,0,1,1,1,31
277,4,3,21,27,6,10,27,4,21,6,2,1,18,0,5,0,0,0,1,0,31
278,30,3,9,9,30,6,6,4,4,33,0,1,3,0,1,1,1,1,0,1,31
279,4,4,9,6,24,4,9,9,6,33,6,2,21,0,194,7,3,6,1,29,31
280,6,24,2,2,6,9,2,2,2,63,1,57,3,109,0,0,7,4,0,0,31
281,54,54,2,86,86,63,9,9,4,4,1,0,1,1,0,390,10,242,236,122,31
282,9,4,4,9,4,4,9,4,4,4,318,222,61,154,389,57,18,250,238,95,31
283,9,4,9,4,4,9,4,133,133,4,315,240,0,253,392,48,228,2,9,2,31
284,55,55,200,124,3748,253,4557,3487,4,9,3,0,1,6,0,1,0,231,69,117,31
285,4,60,60,266,574,133,3,133,133,3,64313,2,7,174,2,0,1,1,0,0,31
286,31,200,124,133,133,4077,654,354,354,398,1,0,1,1,4,4,0,1,3,1,31
287,55,55,3,55,55,55,681,4652,55,55,2,0,1,1,2,0,1,0,1,0,31
288,200,124,106,1029,824,4703,4549,700,1479,217,0,0,1,0,1,2,2,1,1,0,31
289,354,217,106,43,55,200,124,192,293,910,1,6,107,122,0,0,1,0,1,1,31
290,3724,922,258,3504,258,2674,573,2674,573,616,1,0,0,1,0,1,0,1,0,0,31
291,2203,2203,55,133,133,133,133,398,4847,227,1,1,0,1,11,1,1,1,1,1,31
292,227,211,211,398,55,55,3405,4837,556,556,1,1,1,9,1,3,0,0,1,0,31
293,618,618,55,55,341,55,3918,3665,1079,1079,1,1,1,1,1,1,1,1,1,4,31
294,558,393,211,393,211,55,5,4628,3836,1740,0,1,0,1,500,2,2,0,3,2,31
295,1740,258,1332,200,55,124,3605,876,876,2542,1,3,262,0,1,3,0,1,2,10,31
296,3726,370,370,608,55,55,124,200,55,55,2,1,1,20,1,0,0,2,1,3,31
297,4595,4694,55,55,124,200,5,128,3992,4007,0,0,1,0,0,1,0,2,1,0,31
298,2455,854,861,538,861,133,55,4531,133,4494,3,0,1,0,479,0,4,0,4,2,31
299,922,841,398,398,55,3590,55,4746,55,3949,0,3,3,0,3,0,0,1,2,1,31
300,4602,370,370,227,211,211,258,217,870,227,0,4,0,3,1,0,5,1,0,3,31
